FILENAME;ID;START_POS;IS_HEX;TEXT_ORIGINAL;TEXT_LITERAL_ENGLISH;TEXT_CONVERTED_ENGLISH;LINE_WIDTH
START.MES;1;0x0;Y;B2 13 A7 11 2C 11 2C 10 4F 2C 10 C7 A9 10 07 AA B2 14 A7 11 2C 11 2C 10 4F 2C 10 C7 A9 10 07 AA B2 12 B6 14 9B 40 2C 12 2C 18 B0 00 9B 40 2C 13 2C 18 50 00 AD 22 70 69 63 5C 65 6C 66 2E 70 72 37 22 9B 40 2C 10 1E 2C 18 50 00 B7 13 2C 11 2C 22 61 6E 69 5C 65 6C 66 2E 61 6E 69 22 B7 15 2C 11 2C 10 09 B2 14 B2 11 A6 10 64 B6 12 2C 10 17 B7 17 2C 11 A6 10 C8 9B 40 2C 12 2C 18 80 00 9B 40 2C 13 2C 18 20 00 9B 40 2C 10 1E 2C 18 50 00 9B 40 2C 16 2C 10 10 9B 40 2C 17 2C 11 9B 40 2C 10 07 2C 10 1F 9B 40 2C 10 09 2C 18 0D 03 9A 44 2C 11 9E 9D 44 14 21 7B 9B 40 2C 10 0A 44 13 2A 2B 2C 10 0B 44 16 25 10 10 2A 2B 9B 40 2C 10 0B 44 13 2A 2B 2C 10 85 44 16 2F 10 11 2A 2B 9A 44 2C 44 12 2B 7D 9B 40 2C 10 25 2C 11 9B 40 2C 10 26 2C 40 10 26 5C 18 FF FD 26 B2 12 B2 13 A7 11 2C 11 2C 10 4F 2C 18 01 8F A9 10 07 AA B2 14 B2 11 9A 41 2C 18 90 00 9A 55 2C 18 A8 00 9A 59 2C 11 B3 12 2C 7B B2 13 AA B6 14 B2 12 A7 11 2C 11 2C 10 4F 2C 10 C7 A9 10 07 AA B2 11 A2 22 69 6E 69 74 2E 6D 65 73 22 7D B3 16 2C 7B B2 13 AA B6 14 B2 12 A7 11 2C 11 2C 10 4F 2C 10 C7 A9 10 07 AA B2 11 A2 22 6D 61 6E 75 61 6C 2E 6D 65 73 22 7D 99 11 2C 11 9E 9D 01 11 3D 7B B2 13 B6 14 AA B6 12 2C 10 0E B0 AD 22 70 69 63 5C 6F 70 31 2E 70 72 37 22 B2 14 A6 10 C8 B2 13 AA B0 AD 22 70 69 63 5C 6F 70 32 2E 70 72 37 22 B2 14 A6 10 C8 B2 13 AA B0 AD 22 70 69 63 5C 6F 70 33 2E 70 72 37 22 B2 14 9B 40 2C 10 1E 2C 18 50 00 B7 13 2C 11 2C 22 61 6E 69 5C 61 2D 34 2E 61 6E 69 22 A6 10 32 B7 17 2C 11 B7 17 2C 11 B7 17 2C 11 9B 40 2C 10 1E 2C 18 50 00 B7 13 2C 11 2C 22 61 6E 69 5C 61 2D 34 2D 32 2E 61 6E 69 22 B7 17 2C 11 A6 10 C8 B7 15 2C 11 2C 10 09 B2 13 B6 13 AA B0 AD 22 70 69 63 5C 6F 70 34 63 2E 70 61 37 22 A6 10 14 B6 12 2C 10 14 B2 14 9A 58 2C 11 9E 9D 58 10 5A 21 7B A6 12 9A 58 2C 58 12 2B 7D A6 10 64 A6 B2 13 B6 13 AA B0 AD 22 70 69 63 5C 6F 70 35 2E 70 72 37 22 A6 10 14 B6 12 2C 10 0C B2 14 A4 12 2C 7B AF 10 18 2C 10 0A 2C 10 98 2C 10 12 2C 10 3C 2C 10 41 2C 12 2C 12 2C 12 2C 11 2C 18 FF FF A8 10 0A 2C 10 C8 7D ;;;30
START.MES;2;0x297;Y;C1;;;30
START.MES;3;0x298;N;それは・・・漆黒の闇の底に落した１つの林檎のように見えた。;It ... looked like a single apple that fell to the bottom of jet-black darkness.;It ... looks like a lone apple|surrounded by jet black darkness.;30
START.MES;4;0x2D2;Y;C1;;;30
START.MES;5;0x2D3;N;周囲を高い壁で被われ外部と遮断された街・・・レイク・サイド。;A city surrounded by high walls and isolated from the outside ... Lake Side.;Lake Side. A city surrounded by high walls and isolated from the outside world.;30
START.MES;6;0x30F;Y;C1 A6 10 64 C1 C1 C1;;;30
START.MES;7;0x316;N;周りの闇とは対照的に街の中には家が建ち並び光に満ち溢れていた;In contrast to the surrounding darkness, there were houses lined up in the city and full of light;In contrast to the surrounding darkness, there are houses of people in the city and streets full of light.;30
START.MES;8;0x352;Y;C1 A6 10 64 C1 C1 C1;;;30
START.MES;9;0x359;N;俺の名前は、『ジョージ』。この街で修理屋をやっている。;"My name is ""George"". I'm a repair shop in this town.";My name is George. I run a repair shop in town.;30
START.MES;10;0x38F;Y;C1;;;30
